altitude,geo_altitude,height,horizontal_accuracy,location.lat,location.lon,pressure,speed_accuracy,time,velocity.x,velocity.y,velocity.z,vertical_accuracy
22.48,-9.521148036253752,0.11,30.0,1.2802698612213135,103.85433197021484,1010.5522208723281,,2025-07-26T06:02:57Z,0.0,-0.2,-0.2,25.0
22.48,-10.19251426653237,0.11,30.0,1.2802660465240479,103.85432434082031,1010.5522208723281,,2025-07-26T06:02:58Z,0.0,-0.2,-0.2,25.0
22.48,-13.885028533064764,0.11,30.0,1.2802551984786987,103.85430908203125,1010.5522208723281,,2025-07-26T06:02:59Z,0.0,-0.2,-0.2,25.0
22.48,-17.913225914736465,0.11,30.0,1.2802424430847168,103.85429382324219,1010.5522208723281,,2025-07-26T06:03:00Z,0.0,-0.4,-0.4,25.0
22.48,-17.913225914736465,0.11,30.0,1.280242919921875,103.85430145263672,1010.5522208723281,,2025-07-26T06:03:01Z,0.0,-0.2,-0.2,25.0
22.48,-26.305303793219178,0.11,92.6,1.2800625562667847,103.85408782958984,1010.5522208723281,,2025-07-26T06:03:02Z,0.0,-0.4,-0.4,45.0
22.6,-33.354649211144654,0.23,92.6,1.2799023389816284,103.8538818359375,1010.5388702722186,,2025-07-26T06:03:03Z,-0.2,-0.8,0.0,45.0
22.48,-29.829976502181918,0.11,92.6,1.279768705368042,103.85375213623047,1010.5522208723281,,2025-07-26T06:03:04Z,-0.4,-0.8,0.2,45.0
22.48,-35.53658945955016,0.11,92.6,1.279682993888855,103.85365295410156,1010.5522208723281,,2025-07-26T06:03:05Z,-0.4,-0.8,0.6000000000000001,150.0
23.15,-2.8074857334675833,0.78,92.6,1.2788337469100952,103.85336303710938,1010.4721172716712,,2025-07-26T06:03:14.800000Z,-2.8000000000000003,-3.2,-3.2,150.0
23.15,-0.12202081235311543,0.78,92.6,1.2788385152816772,103.85334777832031,1010.4721172716712,,2025-07-26T06:03:15Z,-3.0,-3.2,-3.6,150.0
23.15,2.899127223900661,0.78,92.6,1.2788480520248413,103.85333251953125,1010.4721172716712,,2025-07-26T06:03:15.300000Z,-2.6,-2.8000000000000003,-3.6,150.0
23.15,5.416750587445475,0.78,92.6,1.278852105140686,103.85331726074219,1010.4721172716712,,2025-07-26T06:03:15.500000Z,-2.4000000000000004,-2.6,-3.8000000000000003,150.0
23.15,7.934373950990288,0.78,92.6,1.2788528203964233,103.85330200195312,1010.4721172716712,,2025-07-26T06:03:15.800000Z,-2.2,-2.4000000000000004,-3.8000000000000003,150.0
23.15,9.61278952668683,0.78,92.6,1.2788535356521606,103.85328674316406,1010.4721172716712,,2025-07-26T06:03:16Z,-2.4000000000000004,-2.8000000000000003,-3.8000000000000003,150.0
23.15,11.123363544813719,0.78,92.6,1.2788562774658203,103.85328674316406,1010.4721172716712,,2025-07-26T06:03:16.300000Z,-2.4000000000000004,-3.0,-3.6,150.0
23.15,12.969620678079915,0.78,92.6,1.2788559198379517,103.85328674316406,1010.4721172716712,,2025-07-26T06:03:16.500000Z,-2.4000000000000004,-3.2,-3.6,150.0
23.15,15.319402484055075,0.78,92.6,1.2788498401641846,103.85327911376953,1010.4721172716712,,2025-07-26T06:03:16.800000Z,-2.2,-3.4000000000000004,-3.6,150.0
23.15,17.669184290030234,0.78,92.6,1.278846025466919,103.853271484375,1010.4721172716712,,2025-07-26T06:03:17Z,-2.0,-3.4000000000000004,-3.6,45.0
23.15,19.85112453843574,0.78,92.6,1.2788420915603638,103.853271484375,1010.4721172716712,,2025-07-26T06:03:17.300000Z,-1.6,-3.0,-3.8000000000000003,45.0
23.15,22.2009063444109,0.78,92.6,1.2788523435592651,103.85330200195312,1010.4721172716712,,2025-07-26T06:03:17.500000Z,-1.6,-3.4000000000000004,-4.0,45.0
23.15,24.382846592816403,0.78,92.6,1.278863787651062,103.85334014892578,1010.4721172716712,,2025-07-26T06:03:17.800000Z,-1.6,-3.6,-4.0,45.0
23.15,24.886371265525366,0.78,92.6,1.2788783311843872,103.8533706665039,1010.4721172716712,,2025-07-26T06:03:18Z,-1.6,-3.6,-4.0,45.0
23.15,24.886371265525366,0.78,92.6,1.278895616531372,103.85340118408203,1010.4721172716712,,2025-07-26T06:03:18.300000Z,-1.2000000000000002,-3.2,-4.0,45.0
23.15,22.536589459550207,0.78,92.6,1.278916835784912,103.85344696044922,1010.4721172716712,,2025-07-26T06:03:18.500000Z,-1.0,-2.8000000000000003,-3.8000000000000003,45.0
23.26,22.36874790198055,0.89,92.6,1.2789318561553955,103.85348510742188,1010.4587666715618,,2025-07-26T06:03:18.800000Z,-1.0,-2.6,-3.4000000000000004,45.0
23.26,22.36874790198055,0.89,92.6,1.2789440155029297,103.853515625,1010.4587666715618,,2025-07-26T06:03:19Z,-0.4,-2.8000000000000003,-3.2,45.0
23.26,21.361698556562626,0.89,92.6,1.2789545059204102,103.85354614257812,1010.4587666715618,,2025-07-26T06:03:19.300000Z,0.2,-3.0,-2.8000000000000003,45.0
23.26,22.36874790198055,0.89,30.0,1.2789617776870728,103.85357666015625,1010.4587666715618,,2025-07-26T06:03:19.500000Z,1.2000000000000002,-3.0,-2.8000000000000003,45.0
23.15,40.49563611950321,0.78,92.6,1.2789539098739624,103.85379028320312,1010.4721172716712,,2025-07-26T06:03:26.800000Z,1.0,-2.0,-1.6,45.0
23.15,41.67052702249079,0.78,92.6,1.2789497375488281,103.85379791259766,1010.4721172716712,,2025-07-26T06:03:27Z,0.8,-2.0,-1.6,45.0
23.15,42.50973481033906,0.78,92.6,1.278942346572876,103.85379791259766,1010.4721172716712,,2025-07-26T06:03:27.300000Z,0.6000000000000001,-1.8,-1.6,45.0
23.15,43.51678415575699,0.78,92.6,1.278935432434082,103.85379028320312,1010.4721172716712,,2025-07-26T06:03:27.500000Z,0.4,-1.8,-1.4000000000000001,45.0
23.26,45.027358173883876,0.89,92.6,1.278923749923706,103.85380554199219,1010.4587666715618,,2025-07-26T06:03:27.800000Z,0.8,-1.6,-1.4000000000000001,45.0
23.26,46.705773749580416,0.89,92.6,1.2789123058319092,103.85381317138672,1010.4587666715618,,2025-07-26T06:03:28Z,1.2000000000000002,-1.4000000000000001,-1.4000000000000001,45.0
23.26,47.71282309499834,0.89,92.6,1.2789077758789062,103.85381317138672,1010.4587666715618,,2025-07-26T06:03:28.300000Z,0.8,-1.6,-1.4000000000000001,45.0
23.26,46.537932192010764,0.89,92.6,1.2789868116378784,103.8538818359375,1010.4587666715618,,2025-07-26T06:03:28.500000Z,1.0,-1.2000000000000002,-1.2000000000000002,45.0
23.38,47.71282309499834,1.01,92.6,1.2789771556854248,103.85388946533203,1010.4454160714523,,2025-07-26T06:03:28.800000Z,1.0,-1.0,-1.2000000000000002,45.0
23.38,48.71987244041627,1.01,92.6,1.2789678573608398,103.85389709472656,1010.4454160714523,,2025-07-26T06:03:29Z,1.0,-1.0,-1.0,45.0
